RunOrder,StdOrder,pH,Salt,Temperature,pH_coded,Salt_coded,Temperature_coded,Resolution,Retention_Time,Peak_Area
3,1,6.0,100,20,-1,-1,-1,1.82,6.5,142500
11,2,8.0,100,20,1,-1,-1,1.35,4.8,162300
14,3,6.0,500,20,-1,1,-1,1.28,6.2,185000
5,4,8.0,500,20,1,1,-1,0.95,4.5,182500
8,5,6.0,100,40,-1,-1,1,1.45,7.8,131200
2,6,8.0,100,40,1,-1,1,1.12,5.4,148600
17,7,6.0,500,40,-1,1,1,1.08,7.4,158700
10,8,8.0,500,40,1,1,1,0.75,5.1,155900
19,9,5.0,300,30,-1.682,0,0,1.05,7.2,145600
7,10,9.0,300,30,1.682,0,0,0.68,4.2,152000
9,11,7.0,0,30,0,-1.682,0,2.05,5.8,120500
13,12,7.0,600,30,0,1.682,0,0.82,5.5,190500
16,13,7.0,300,13,0,0,-1.682,1.85,4.9,165400
6,14,7.0,300,47,0,0,1.682,1.25,7.2,140300
1,15,7.0,300,30,0,0,0,2.35,5.8,154200
4,16,7.0,300,30,0,0,0,2.42,5.6,152800
12,17,7.0,300,30,0,0,0,2.30,5.7,153500
18,18,7.0,300,30,0,0,0,2.38,5.9,155100
15,19,7.0,300,30,0,0,0,2.32,5.5,151900
20,20,7.0,300,30,0,0,0,2.40,5.8,156200
