RunOrder,StdOrder,Glucose,Glutamine,Serum,Growth_Factor,Buffer,Glucose_coded,Glutamine_coded,Serum_coded,Growth_Factor_coded,Buffer_coded,Cell_Density,Viability,Productivity
12,1,2.0,2.0,0.0,0.0,10.0,-1,-1,-1,-1,-1,6.2,92.5,15.4
5,2,6.0,2.0,0.0,0.0,30.0,1,-1,-1,-1,1,9.5,91.3,22.5
8,3,2.0,6.0,0.0,0.0,30.0,-1,1,-1,-1,1,7.8,90.8,19.2
13,4,6.0,6.0,0.0,0.0,10.0,1,1,-1,-1,-1,12.4,90.2,28.6
10,5,2.0,2.0,10.0,0.0,30.0,-1,-1,1,-1,1,9.8,94.6,14.8
3,6,6.0,2.0,10.0,0.0,10.0,1,-1,1,-1,-1,13.5,93.8,21.2
15,7,2.0,6.0,10.0,0.0,10.0,-1,1,1,-1,-1,12.1,93.2,18.6
19,8,6.0,6.0,10.0,0.0,30.0,1,1,1,-1,1,15.8,92.5,27.8
17,9,2.0,2.0,0.0,10.0,30.0,-1,-1,-1,1,1,7.1,93.0,17.8
9,10,6.0,2.0,0.0,10.0,10.0,1,-1,-1,1,-1,10.2,92.0,25.8
1,11,2.0,6.0,0.0,10.0,10.0,-1,1,-1,1,-1,8.5,91.5,22.5
7,12,6.0,6.0,0.0,10.0,30.0,1,1,-1,1,1,13.1,91.0,31.8
14,13,2.0,2.0,10.0,10.0,10.0,-1,-1,1,1,-1,10.4,96.2,17.2
18,14,6.0,2.0,10.0,10.0,30.0,1,-1,1,1,1,14.0,95.0,23.5
4,15,2.0,6.0,10.0,10.0,30.0,-1,1,1,1,1,13.0,94.5,20.8
11,16,6.0,6.0,10.0,10.0,10.0,1,1,1,1,-1,16.5,94.0,30.2
6,17,4.0,4.0,5.0,5.0,20.0,0,0,0,0,0,10.1,94.8,22.5
16,18,4.0,4.0,5.0,5.0,20.0,0,0,0,0,0,9.8,95.2,23.0
2,19,4.0,4.0,5.0,5.0,20.0,0,0,0,0,0,10.3,94.5,22.8
20,20,4.0,4.0,5.0,5.0,20.0,0,0,0,0,0,9.9,95.0,22.7
