RunOrder,StdOrder,Temperature,pH,Inducer,Temperature_coded,pH_coded,Inducer_coded,Protein_Yield,Cell_Density,Purity
8,1,30,6.5,0.1,-1,-1,-1,420.3,4.5,87.2
3,2,37,6.5,0.1,1,-1,-1,550.8,3.8,91.5
1,3,30,7.5,0.1,-1,1,-1,450.2,5.8,89.5
10,4,37,7.5,0.1,1,1,-1,590.5,5.2,92.8
6,5,30,6.5,1.0,-1,-1,1,630.1,3.2,88.4
4,6,37,6.5,1.0,1,-1,1,840.6,2.6,94.1
2,7,30,7.5,1.0,-1,1,1,680.4,4.5,90.2
7,8,37,7.5,1.0,1,1,1,780.5,4.2,95.6
11,9,33.5,7.0,0.55,0,0,0,545.3,4.8,90.5
5,10,33.5,7.0,0.55,0,0,0,535.6,4.9,89.8
9,11,33.5,7.0,0.55,0,0,0,549.2,5.0,90.1
